id,lat,lng,votes,m2,euros,address,link,title,img
1,39.4821544,-0.3833446,0,100 (75 útiles),500,"calle mauro guillén, 3. valència","http://www.idealista.com/inmueble/2207540/","Un poco lejos, pero tiene muy buena pinta a/a. Calefacción. Puede que se quede pequeña",http://img2.idealista.com/thumbs?wi=850&he=0&en=1TV1Rvu8EF9FDdUxKy%2BhTKXEjTHEvkjC%2B1txKXwH%2BPB2ZiUpK%2BiR29LCAEPsglRvyRHVwaTNHx9Y1um%2BLtyY4DRUT2xZ1lErfbLUUq%2BYReGOOeuOyLJoEPyllGFJY2T3TTDFVQc6cWezvEJYmdQuKMUN53GBzwC2krx5ih6pgRV5qULAvMTcetazodn%2FGRKN&ch=-127169377
2,39.4729492,-0.378813,0,100,500,"barrio el mercat. valència","http://www.idealista.com/inmueble/2218948/","Céntrico. divisiones. a/a",http://img2.idealista.com/thumbs?wi=600&he=0&en=e2QOq%2B%2BzUcbn%2B%2FRVSTVyZbL5a%2BvUTFKWwmDBUJHiFME6HvroN2hAzXxNPgdmb58ars2lIMCQ0ftgWWr5w3kdeHELfmneCXsD0WWgUgyS0tlGEXM0gP3mAfG%2FUFHG6TjaoJQG%2F440j1sGGfsvcF%2FpAaS5g3lVFgvPVEuUMS2CURwoV60Dksx3ZId0kWqpqLSc&ch=1068460599
3,39.4787351,-0.3562023,0,122,500,"avenida primado reig, 118",http://www.idealista.com/inmueble/29115632/,"Alejada pero bien comunicada. 2 aseos. Junta a Mercadona",http://img2.idealista.com/thumbs?wi=850&he=0&en=e2QOq%2B%2BzUcbn%2B%2FRVSTVyZWPbXkZuNSZvgTG7hGaR2r9T5mJ9%2FXI9IVCB1%2FX6mX65VaLMnt3SeF0kt8O3qFU4Zkhka2%2Fpsfom%2B8UtUtfStjVXAJjtrgu%2FAHvnPKZ9oEtLaCs3u0nPlX1cFSD6wLdDPAC2xW0LfAH0OvyByooEqmg1mc3Qgp9%2Brts0FRL%2B3jfC&ch=1644730822
4,39.4676329,-0.3796642,0,150 (137 útiles),500,"calle san vicente",http://www.idealista.com/inmueble/25948740/,"Viejete, pero muy céntrico y espacioso. a/a",http://img2.idealista.com/thumbs?wi=0&he=600&en=e2QOq%2B%2BzUcbn%2B%2FRVSTVyZcqovoJbZP9uZiGwehb3jiYl%2FRcTfUCYVAAwWCxd7tkFVaLMnt3SeF0kt8O3qFU4Zkhka2%2Fpsfom%2B8UtUtfStjVXAJjtrgu%2FAHvnPKZ9oEtLaCs3u0nPlX1cFSD6wLdDPH%2BkYQKfnxNAsuftAegGKdQ1mc3Qgp9%2Brts0FRL%2B3jfC&ch=214556837
5,39.467038,-0.3848355,0,145,500,calle historiador diago,http://www.idealista.com/inmueble/28954761/,"Es una casa vacia. No es diafano. Céntrico. 2 baños. Cocina. Incluye comunidad",http://img2.idealista.com/thumbs?wi=0&he=850&en=e2QOq%2B%2BzUcbn%2B%2FRVSTVyZRc6scjqiQRMQqdv8hlSxsqCFCkR%2FU9cbj0K83RBdj0Zrs2lIMCQ0ftgWWr5w3kdeHELfmneCXsD0WWgUgyS0tlGEXM0gP3mAfG%2FUFHG6TjaoJQG%2F440j1sGGfsvcF%2FpAf4%2BDZQNVGlab7Dsj0a0cQwoV60Dksx3ZId0kWqpqLSc&ch=-2047800799
6,39.4691294,-0.3802319,0,137,500,calle nuestra señora de gracia,http://www.idealista.com/inmueble/27819271/,"Casa viejeta, con cocina. Muy centrada. a/a frio calor",http://img2.idealista.com/thumbs?wi=600&he=0&en=e2QOq%2B%2BzUcbn%2B%2FRVSTVyZTk6GfCBcHJCdP%2BoBWYJmwRUH6nBUWzuNV5S%2Fgxbr62MVaLMnt3SeF0kt8O3qFU4Zkhka2%2Fpsfom%2B8UtUtfStjVXAJjtrgu%2FAHvnPKZ9oEtLaCs3u0nPlX1cFSD6wLdDPAC2xW0LfAH0OvyByooEqmg1mc3Qgp9%2Brts0FRL%2B3jfC&ch=-1844413611
7,39.4695298,-0.4152718,0,142,400,"avenida cid, 105",http://www.idealista.com/inmueble/2180499/,"A tomar por kuku. Buena pinta, espaciosa. Cocina. a/a frio",http://img2.idealista.com/thumbs?wi=600&he=0&en=1TV1Rvu8EF9FDdUxKy%2BhTCQSG%2BiLhvt%2BIUDgdn4eO46f72evDVDSp6SdtbKmj8Ysj%2F72ixO3VSzEcuTzbd%2BLj7OD3q7dzSKUrDjnAaG9hwM0VE9sWdZRK32y1FKvmEXhjjnrjsiyaBD8pZRhSWNk900wxVUHOnFns7xCWJnULijFDedxgc8AtpK8eYoeqYEVealCwLzE3HrWs6HZ%2FxkSjQ%3D%3D&ch=-517837502
8,39.4697587,-0.3922811,0,120,450,"perez galdos, 93",http://www.idealista.com/inmueble/29171339/,"Cocina, tres espacios diferentes. a/a",http://img2.idealista.com/thumbs?wi=600&he=0&en=e2QOq%2B%2BzUcbn%2B%2FRVSTVyZSW64abnJZIfE1URUE40zOad3Sxgzsy%2B3t5R%2BOo4jrLzVaLMnt3SeF0kt8O3qFU4Zkhka2%2Fpsfom%2B8UtUtfStjVXAJjtrgu%2FAHvnPKZ9oEtLaCs3u0nPlX1cFSD6wLdDPAC2xW0LfAH0OvyByooEqmg1mc3Qgp9%2Brts0FRL%2B3jfC&ch=793971277
9,39.4694389,-0.3715697,0,90,450,calle colon,http://www.idealista.com/inmueble/28128730/,"2 despachos. Muy centrado. Viejete",http://img2.idealista.com/thumbs?wi=600&he=0&en=e2QOq%2B%2BzUcbn%2B%2FRVSTVyZdMY5RK9kcyp9PNlYiGTTHSgePrYWAldvZQhyFOMwQ%2B%2Brs2lIMCQ0ftgWWr5w3kdeHELfmneCXsD0WWgUgyS0tlGEXM0gP3mAfG%2FUFHG6TjaoJQG%2F440j1sGGfsvcF%2FpAaS5g3lVFgvPVEuUMS2CURwoV60Dksx3ZId0kWqpqLSc&ch=-1941506493
10,39.4828503,-0.3745345,0,125,500,"calle manya, 3",http://www.idealista.com/inmueble/27371286/,"A/a, calefacción. Alejado. Bajo.",http://img2.idealista.com/thumbs?wi=600&he=0&en=e2QOq%2B%2BzUcbn%2B%2FRVSTVyZfOyTmBxZCWEJnAAWC9ckN%2FlPuDlVISNCCPipvqJkwqyVaLMnt3SeF0kt8O3qFU4Zkhka2%2Fpsfom%2B8UtUtfStjVXAJjtrgu%2FAHvnPKZ9oEtLaCs3u0nPlX1cFSD6wLdDPAC2xW0LfAH0OvyByooEqmg1mc3Qgp9%2Brts0FRL%2B3jfC&ch=-4373464
